country,survey,item_code_code,item_code_name,priority,source,standard_food_code,standard_food_name
MWI,IHS5,209,COCOYAMS,2,maps-team,208,COCOYAM (MASIMBI)
MWI,IHS5,209,DRIED CASSAVA (MAKAKA),2,maps-team,NA,NA
MWI,IHS5,209,MPAMA,2,maps-team,NA,NA
MWI,IHS5,209,YAMS,2,maps-team,208,COCOYAM (MASIMBI)
MWI,IHS5,209,ZINYANYA,2,maps-team,NA,NA
MWI,IHS5,310,BUTTER BEANS,2,maps-team,301,"BEAN, WHITE"
MWI,IHS5,310,CHICK PEA,2,maps-team,NA,NA
MWI,IHS5,310,COW PEAS,2,maps-team,308,COWPEA (KHOBWE)
MWI,IHS5,310,GROUND AND COOKED BEANS,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,KHOBWE,2,maps-team,308,COWPEA (KHOBWE)
MWI,IHS5,310,KHUNGUZU,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,LABLAB,2,maps-team,NA,NA
MWI,IHS5,310,MAHAWADI AND BUTTER BEANS,2,maps-team,NA,NA
MWI,IHS5,310,MIXED BEANS,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,MSAWAWA,2,maps-team,NA,NA
MWI,IHS5,310,MUCUNA,2,maps-team,837,KALONGONDA (MUCUNA)
MWI,IHS5,310,NKHUNGUZU,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,NSAULA,2,maps-team,NA,NA
MWI,IHS5,310,NSAWAWA,2,maps-team,NA,NA
MWI,IHS5,310,PEACHES,2,maps-team,601,MANGO
MWI,IHS5,310,PEAGION PEAS,2,maps-team,303,PIGEON PEA (NANDOLO)
MWI,IHS5,310,PEANUT,2,maps-team,NA,NA
MWI,IHS5,310,PEAS,2,maps-team,NA,NA
MWI,IHS5,310,RED BEANS,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,SAWAWA,2,maps-team,NA,NA
MWI,IHS5,310,SOAP PIECE,2,maps-team,NA,NA
MWI,IHS5,310,TCHANA,2,maps-team,NA,NA
MWI,IHS5,310,YELLOW BEANS,2,maps-team,302,"BEAN, BROWN"
MWI,IHS5,310,ZIMBAMBA/MAKWERA,2,maps-team,NA,NA
MWI,IHS5,412,THERERE WAMASAMBA,2,maps-team,411,OKRA / THERERE
MWI,IHS5,412,TINNED BEANS,2,maps-team,NA,NA
MWI,IHS5,414,CARROT,2,maps-team,NA,NA
MWI,IHS5,414,CASSAVA LEAVES,2,maps-team,404,NKHWANI
MWI,IHS5,414,CHAFUTSA,2,maps-team,NA,NA
MWI,IHS5,414,CHAMWAMBA,2,maps-team,411,OKRA / THERERE
MWI,IHS5,414,CHIGWADWA(CASSAVA LEAVES),2,maps-team,NA,NA
MWI,IHS5,414,CHISOSO,2,maps-team,404,NKHWANI
MWI,IHS5,414,CHITAMBE,2,maps-team,404,NKHWANI
MWI,IHS5,414,CHITAMBE(MFUTSO),2,maps-team,NA,NA
MWI,IHS5,414,EGG PLANT,2,maps-team,402,CABBAGE
MWI,IHS5,414,EGGS PLANTS,2,maps-team,402,CABBAGE
MWI,IHS5,414,GATHERED THERERE,2,maps-team,411,OKRA / THERERE
MWI,IHS5,414,KHOLOWA,2,maps-team,404,NKHWANI
MWI,IHS5,414,KHWANYA,2,maps-team,404,NKHWANI
MWI,IHS5,414,KWANYA,2,maps-team,404,NKHWANI
