country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,INFANT FEEDING FORMULA (FOR BOTTLE),708,INFANT FEEDING FORMULA (FOR BOTTLE),mwi-ihs5-standard_food_list
MWI,IHS5,SUGAR,801,SUGAR,mwi-ihs5-standard_food_list
MWI,IHS5,SUGAR CANE,802,SUGAR CANE,mwi-ihs5-standard_food_list
MWI,IHS5,COOKING OIL,803,COOKING OIL,mwi-ihs5-standard_food_list
MWI,IHS5,SALT,810,SALT,mwi-ihs5-standard_food_list
MWI,IHS5,PEPPER,811,SPICES,mwi-ihs5-non_standard_food_list
MWI,IHS5,ROYCO,811,SPICES,mwi-ihs5-non_standard_food_list
MWI,IHS5,SPICES,811,SPICES,mwi-ihs5-standard_food_list
MWI,IHS5,SODA,812,"YEAST, BAKING POWDER, BICARBONATE OF SODA",mwi-ihs5-non_standard_food_list
MWI,IHS5,"YEAST, BAKING POWDER, BICARBONATE OF SODA",812,"YEAST, BAKING POWDER, BICARBONATE OF SODA",mwi-ihs5-standard_food_list
MWI,IHS5,TOMATO SAUCE (BOTTLE),813,TOMATO SAUCE (BOTTLE),mwi-ihs5-standard_food_list
MWI,IHS5,"HOT SAUCE (NALI, ETC)",814,"HOT SAUCE (NALI, ETC)",mwi-ihs5-standard_food_list
MWI,IHS5,"JAM, JELLY",815,"JAM, JELLY",mwi-ihs5-standard_food_list
MWI,IHS5,"SWEETS, CANDY, CHOCOLATES",816,"SWEETS, CANDY, CHOCOLATES",mwi-ihs5-standard_food_list
MWI,IHS5,HONEY,817,HONEY,mwi-ihs5-standard_food_list
MWI,IHS5,MAIZE - BOILED OR ROASTED (VENDOR),820,MAIZE - BOILED OR ROASTED (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,CHIGEGE,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,CHIPS (VENDOR),821,CHIPS (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,IRISH POTATOES AND FLOUR,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIBHWENTE,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIBWEMPWE,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIBWENTE,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIGEDE,821,CHIPS (VENDOR),mwi-ihs5-non_standard_food_list
MWI,IHS5,CASSAVA - BOILED (VENDOR),822,CASSAVA - BOILED (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,EGGS - BOILED (VENDOR),823,EGGS - BOILED (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,CHICKEN (VENDOR),824,CHICKEN (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,MEAT (VENDOR),825,MEAT (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,FISH (VENDOR),826,FISH (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,FRIED MIXTURE OF MAIZE FLOUR/BANANA AND SODA,827,"MANDAZI, DOUGHNUT (VENDOR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,"MANDAZI, DOUGHNUT (VENDOR)",827,"MANDAZI, DOUGHNUT (VENDOR)",mwi-ihs5-standard_food_list
MWI,IHS5,MIXTURE OF MAIZE FLOUR/BANANA/SUGAR,827,"MANDAZI, DOUGHNUT (VENDOR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,SAMOSA (VENDOR),828,SAMOSA (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,MEAL EATEN AT RESTAURANT,829,MEAL EATEN AT RESTAURANT,mwi-ihs5-standard_food_list
MWI,IHS5,BOILED SWEET POTATOES,831,BOILED SWEET POTATOES,mwi-ihs5-standard_food_list
MWI,IHS5,COOKED SWEET POTATOES (VENDORS),831,BOILED SWEET POTATOES,mwi-ihs5-non_standard_food_list
MWI,IHS5,ROASTED SWEET POTATO,832,ROASTED SWEET POTATOES,mwi-ihs5-non_standard_food_list
MWI,IHS5,ROASTED SWEET POTATOES,832,ROASTED SWEET POTATOES,mwi-ihs5-standard_food_list
MWI,IHS5,BOILED GROUNDNUTS,833,BOILED GROUNDNUTS,mwi-ihs5-standard_food_list
MWI,IHS5,ROASTED GROUNDNUTS,834,ROASTED GROUNDNUTS,mwi-ihs5-standard_food_list
MWI,IHS5,POPCORN,835,POPCORN,mwi-ihs5-standard_food_list
MWI,IHS5,ZIKONDAMOYO / NKATE,836,ZIKONDAMOYO / NKATE,mwi-ihs5-standard_food_list
MWI,IHS5,KALONGONDA (MUCUNA),837,KALONGONDA (MUCUNA),mwi-ihs5-standard_food_list
MWI,IHS5,MUCUNA,837,KALONGONDA (MUCUNA),mwi-ihs5-non_standard_food_list
MWI,IHS5,CASSAVA - ROASTED (VENDOR),838,CASSAVA - ROASTED (VENDOR),mwi-ihs5-standard_food_list
MWI,IHS5,TEA,901,TEA,mwi-ihs5-standard_food_list
MWI,IHS5,COFFEE,902,COFFEE,mwi-ihs5-standard_food_list
MWI,IHS5,"COCOA, MILO",903,"COCOA, MILO",mwi-ihs5-standard_food_list
MWI,IHS5,SQUASH (SOBO DRINK CONCENTRATE),904,SQUASH (SOBO DRINK CONCENTRATE),mwi-ihs5-standard_food_list
MWI,IHS5,FRUIT JUICE,905,FRUIT JUICE,mwi-ihs5-standard_food_list
MWI,IHS5,BAKES,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,BAKES JUICE,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,FREEZES (FLAVOURED ICE),906,FREEZES (FLAVOURED ICE),mwi-ihs5-standard_food_list
MWI,IHS5,JOLKY JUS,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,JOLLY JAS JUICE,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,POWDERED JUICE,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,WAKA JUICE,906,FREEZES (FLAVOURED ICE),mwi-ihs5-non_standard_food_list
MWI,IHS5,DRAGON FROZY,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,FROZY,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",mwi-ihs5-standard_food_list
MWI,IHS5,THUMPS UP,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,CHIBUKU (COMMERCIAL TRADITIONAL-STYLE BEER),908,CHIBUKU (COMMERCIAL TRADITIONAL-STYLE BEER),mwi-ihs5-standard_food_list
